State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Keralam,Thiruvananthapuram,"Parassala Market",Carrot,Carrot,Local,12/09/2026,3800,4200,4000
Uttarakhand,Haridwar,"Roorkee APMC",Potato,Other,Medium,12/09/2026,800,1200,1000
"Andhra Pradesh",Markapuram,"Podili APMC","Red gram/Arhar/Tur(whole)","Arhar (Whole)",Non-FAQ,12/09/2026,8000,8200,8100
Uttarakhand,Haridwar,"Roorkee APMC",Cucumbar(Kheera),Other,Local,12/09/2026,850,1200,950
Keralam,Thiruvananthapuram,"Parassala Market",Tomato,Tomato,Local,12/09/2026,3000,3400,3200
Keralam,Thiruvananthapuram,"Parassala Market",Amaranthus,Amaranthus,Local,12/09/2026,6800,7200,7000
"Andhra Pradesh",Prakasam,"Santhamaguluru APMC",Paddy(Common),"B P T",FAQ,12/09/2026,2500,2580,2550
Uttarakhand,Haridwar,"Roorkee APMC",Onion,Other,Medium,12/09/2026,2500,4500,3500
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Brinjal,Brinjal,"Grade A",12/09/2026,1000,1500,1200
Rajasthan,Jalore,"Jalore APMC",Beetroot,Other,Local,12/09/2026,1800,2400,2000
Keralam,Thiruvananthapuram,"Parassala Market",Brinjal,Round/Long,Local,12/09/2026,3800,4200,4000
Uttarakhand,Haridwar,"Roorkee APMC",Banana,Other,Medium,12/09/2026,800,1200,1000
Rajasthan,Jalore,"Jalore APMC",Tomato,Tomato,Local,12/09/2026,2000,2400,2200
"Andhra Pradesh",Srikakulam,"Etcherla APMC",Paddy(Common),1121,FAQ,12/09/2026,2369,2369,2369
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC","Water Melon",Other,"Grade A",12/09/2026,1000,1500,1200
Rajasthan,Jalore,"Jalore APMC",Ginger(Green),Other,Local,12/09/2026,4000,4500,4300
Rajasthan,Jalore,"Jalore APMC",Coriander(Leaves),Coriander,Local,12/09/2026,2500,3000,2800
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Guava,Other,"Grade A",12/09/2026,2000,3000,2500
Rajasthan,Jalore,"Jalore APMC",Capsicum,Other,Local,12/09/2026,2800,3200,3000
Keralam,Ernakulam,"Piravam Market",Snakeguard,Snakeguard,Local,12/09/2026,4000,5000,4500
Keralam,Ernakulam,"Piravam Market",Potato,Potato,Local,12/09/2026,3800,4500,4200
"Andhra Pradesh",Prakasam,"Maddipadu APMC","Bengal Gram(Gram)(Whole)",Gulabi,FAQ,12/09/2026,6000,6000,6000
Keralam,Kollam,"Kottarakkara Market",Onion,Other,Local,12/09/2026,3000,3000,3000
"Andhra Pradesh",Palnadu,"Gurazala APMC","Chili Red",Red,Local,12/09/2026,16000,23000,20500
Keralam,Kollam,"Kottarakkara Market","Green Chilli",Other,Local,12/09/2026,3100,3100,3100
Keralam,Kollam,"Kottarakkara Market",Drumstick,Other,Local,12/09/2026,5600,5600,5600
Keralam,Kollam,"Kottarakkara Market",Cucumbar(Kheera),Other,Local,12/09/2026,2000,2000,2000
Keralam,Kollam,"Kottarakkara Market",Beetroot,Other,Local,12/09/2026,2000,2000,2000
Keralam,Ernakulam,"Piravam Market","Indian Beans(Seam)",Other,Local,12/09/2026,6000,8000,7000
Keralam,Ernakulam,"Piravam Market",Cowpea(Veg),"Cowpea (Veg)",Local,12/09/2026,6000,8000,7000
Keralam,Ernakulam,"Piravam Market","Elephant Yam(Suran)/Amorphophallus",Amorphophallus,Local,12/09/2026,5000,6000,5500
